batter,avg_total_runs,avg_strike_rate,avg_runs_vs_Chennai Super Kings,avg_runs_vs_Deccan Chargers,avg_runs_vs_Delhi Capitals,avg_runs_vs_Delhi Daredevils,avg_runs_vs_Gujarat Lions,avg_runs_vs_Gujarat Titans,avg_runs_vs_Kings XI Punjab,avg_runs_vs_Kochi Tuskers Kerala,avg_runs_vs_Kolkata Knight Riders,avg_runs_vs_Lucknow Super Giants,avg_runs_vs_Mumbai Indians,avg_runs_vs_Pune Warriors,avg_runs_vs_Punjab Kings,avg_runs_vs_Rajasthan Royals,avg_runs_vs_Rising Pune Supergiant,avg_runs_vs_Rising Pune Supergiants,avg_runs_vs_Royal Challengers Bangalore,avg_runs_vs_Royal Challengers Bengaluru,avg_runs_vs_Sunrisers Hyderabad,avg_runs_at_stadium,avg_runs_vs_team
NM Coulter-Nile,5.0,125.0,5.0,0.0,1.0,0.0,0.0,0.0,16.5,0.0,4.5,0.0,4.5,0.0,0.0,6.0,6.0,2.0,3.0,0.0,1.6666666666666667,5.666666666666667,5.016666666666667
NS Naik,7.0,41.17647058823529,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.75,10.0
NT Ellis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.8,3.25
NV Ojha,27.7,118.09157217051954,27.7,13.125,0.0,15.428571428571429,9.5,0.0,29.666666666666668,6.5,16.1875,0.0,8.0,10.0,0.0,10.285714285714286,9.0,12.5,16.727272727272727,0.0,1.0,15.560705882352941,13.25862322201608
Naman Dhir,20.0,166.66666666666669,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,14.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.3125,22.2
Navdeep Saini,2.0,53.33333333333333,2.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.166666666666667
Naveen-ul-Haq,2.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,4.5,4.5
Nithish Kumar Reddy,14.5,137.5,14.5,0.0,37.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,20.0,0.0,50.5,40.5,0.0,0.0,0.0,13.0,0.0,29.333333333333332,26.642857142857142
Noor Ahmad,7.0,140.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,2.6
OA Shah,20.0,113.51851851851852,20.0,32.666666666666664,0.0,1.0,0.0,0.0,18.5,0.0,26.0,0.0,45.0,4.0,0.0,19.0,0.0,0.0,18.25,0.0,0.0,29.642857142857142,20.49074074074074
OC McCoy,8.0,160.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
OF Smith,3.0,33.33333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.0,7.625,8.5
P Awana,1.0,20.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.0
P Chopra,8.0,133.33333333333331,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
P Dogra,5.0,166.66666666666669,5.0,0.0,0.0,24.5,0.0,0.0,1.0,0.0,5.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,12.976190476190476,12.071428571428571
P Dubey,7.0,53.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5
P Kumar,7.0,102.98701298701299,7.0,6.0,0.0,3.333333333333334,0.0,0.0,8.4,0.0,5.714285714285714,0.0,4.555555555555555,2.3333333333333335,0.0,11.571428571428571,0.0,0.0,5.666666666666668,0.0,3.166666666666666,5.123203463203463,5.774126984126984
P Negi,4.333333333333333,72.22222222222221,4.333333333333333,0.0,0.0,9.333333333333334,17.5,0.0,14.5,0.0,11.8,0.0,14.285714285714286,8.0,0.0,3.0,6.5,19.0,9.25,0.0,15.0,10.66017316017316,10.192490842490843
P Parameswaran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5
P Ray Barman,19.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0
P Sahu,18.0,150.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5
P Simran Singh,28.333333333333332,145.14492753623188,28.333333333333332,0.0,40.75,0.0,0.0,23.333333333333332,0.0,0.0,23.25,10.666666666666666,11.666666666666666,0.0,0.0,19.5,0.0,0.0,26.5,15.5,19.333333333333332,25.30625,21.883333333333333
PA Patel,25.384615384615383,91.86227082120197,25.384615384615383,6.0,24.0,19.125,34.666666666666664,0.0,34.294117647058826,0.0,21.125,0.0,19.09090909090909,15.2,0.0,19.4375,27.0,21.0,13.125,0.0,14.916666666666666,22.76042160737813,21.02610538970833
PA Reddy,1.0,11.111111111111109,0.0,0.0,0.0,1.0,0.0,0.0,21.5,0.0,0.0,0.0,7.0,27.0,0.0,22.0,0.0,0.0,14.0,0.0,0.0,9.071428571428571,15.416666666666666
PBB Rajapaksa,25.5,135.0,25.5,0.0,4.0,0.0,0.0,30.0,0.0,0.0,27.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,0.0,0.0,16.047619047619047,18.785714285714285
PC Valthaty,120.0,187.5,120.0,40.0,0.0,19.75,0.0,0.0,0.0,17.0,6.666666666666667,0.0,23.5,7.5,0.0,29.5,0.0,0.0,15.666666666666666,0.0,6.0,16.28846153846154,28.558333333333334
PD Collingwood,51.0,118.60465116279072,0.0,51.0,0.0,0.0,0.0,0.0,4.0,0.0,27.5,0.0,2.0,0.0,0.0,16.0,0.0,0.0,75.0,0.0,0.0,14.599999999999998,29.25
PD Salt,6.666666666666667,63.88888888888889,6.666666666666667,0.0,43.0,0.0,0.0,0.0,0.0,0.0,5.0,60.5,5.5,0.0,40.666666666666664,10.0,0.0,0.0,87.0,39.0,37.666666666666664,20.45,30.454545454545453
PJ Cummins,22.0,104.95173745173746,22.0,0.0,5.25,0.0,24.0,2.0,6.0,0.0,14.25,0.0,23.875,0.0,3.0,8.4,11.0,0.0,4.8,31.0,3.0,13.014705882352942,12.198076923076924
PJ Sangwan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,1.9090909090909092,1.6363636363636365
PK Garg,24.666666666666668,109.57190957190956,24.666666666666668,0.0,17.0,0.0,0.0,10.0,1.5,0.0,12.5,0.0,26.333333333333332,0.0,4.0,7.5,0.0,0.0,11.333333333333334,0.0,12.0,14.083333333333334,12.683333333333334
PM Sarvesh Kumar,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PN Mankad,26.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.4,20.5
PP Chawla,5.416666666666667,75.64903846153847,5.416666666666667,9.166666666666666,12.0,6.0,11.0,6.0,9.0,0.0,6.444444444444445,0.0,6.555555555555555,17.333333333333332,0.0,6.071428571428571,0.0,8.0,5.25,0.0,8.0,7.162169312169313,8.302721088435375
PP Ojha,0.6666666666666666,54.166666666666664,0.6666666666666666,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.8055555555555556,0.8111111111111111
PP Shaw,26.75,115.32585574514688,26.75,0.0,0.0,0.0,0.0,8.75,9.4,0.0,38.90909090909091,27.5,17.416666666666668,0.0,41.5,18.333333333333332,0.0,0.0,20.444444444444443,0.0,25.22222222222222,23.155871212121212,23.422575757575757
PR Shah,13.333333333333334,121.24756335282649,0.0,13.333333333333334,0.0,7.666666666666668,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,8.5,10.0
PSP Handscomb,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
PV Tambe,1.5,100.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,3.0,3.1,3.0
PVD Chameera,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.5,0.0,0.0,6.0,0.0,0.0,5.5,6.1
PWH de Silva,2.5,108.33333333333333,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,12.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,8.0,4.925925925925926,6.071428571428571
Pankaj Singh,4.0,133.33333333333331,0.0,4.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.625
Parvez Rasool,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.833333333333333,4.25
Q de Kock,25.933333333333334,111.96033626124041,25.933333333333334,0.0,29.666666666666668,18.0,25.5,23.5,37.0,0.0,30.333333333333332,0.0,17.625,2.0,32.5,33.72727272727273,0.0,2.0,33.72727272727273,81.0,31.0,31.681397306397308,28.234191919191918
R Ashwin,12.571428571428571,98.26463391680782,12.571428571428571,3.6666666666666665,20.0,6.6,0.0,5.6,4.888888888888889,0.0,10.4,13.666666666666666,8.5,11.0,14.0,7.571428571428571,0.0,0.0,8.818181818181818,0.0,6.142857142857143,8.299338624338624,9.530437023294166
R Bhatia,6.875,82.05357142857142,6.875,2.0,0.0,16.5,0.0,0.0,7.4,5.5,3.0,0.0,5.555555555555555,8.0,0.0,10.0,0.0,0.0,9.666666666666666,0.0,4.0,7.4603174603174605,6.541435185185185
R Bishnoi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,6.333333333333333
R Dhawan,14.0,112.5,14.0,0.0,4.0,8.0,0.0,1.0,14.0,0.0,14.0,21.0,10.0,0.0,0.0,3.0,0.0,11.0,10.333333333333334,0.0,3.5,9.433333333333334,9.48611111111111
R Dravid,23.083333333333332,89.69971130214537,23.083333333333332,30.818181818181817,0.0,35.3,0.0,0.0,25.0,22.5,20.4,0.0,17.727272727272727,33.0,0.0,29.2,0.0,0.0,35.4,0.0,24.333333333333332,26.166036414565827,26.978374655647382
R McLaren,1.0,66.66666666666666,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,6.5,0.0,0.0,23.333333333333332,0.0,0.0,8.814814814814815,11.729166666666666
R Ninan,3.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
R Parag,16.4,103.50064350064349,16.4,0.0,20.666666666666668,0.0,0.0,20.333333333333332,0.0,0.0,17.666666666666668,19.8,22.6,0.0,20.0,0.0,0.0,0.0,26.5,20.0,22.375,21.227083333333333,18.758333333333333
R Powell,3.0,33.33333333333333,3.0,0.0,13.0,0.0,0.0,20.0,0.0,0.0,22.333333333333332,13.0,15.666666666666666,0.0,5.666666666666667,19.0,0.0,0.0,0.0,16.0,33.333333333333336,14.630555555555556,14.636363636363637
R Rampaul,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.5,7.166666666666667
R Ravindra,2.0,16.666666666666664,0.0,0.0,2.0,0.0,0.0,23.5,0.0,0.0,15.0,0.0,21.0,0.0,0.0,27.0,0.0,0.0,0.0,49.0,12.0,18.321428571428573,18.6875
R Sai Kishore,13.0,216.66666666666663,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
R Sanjay Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Sathish,3.4,53.77777777777777,3.4,3.0,0.0,14.0,0.0,0.0,18.5,0.0,16.0,0.0,0.0,0.0,0.0,5.8,0.0,10.0,20.25,0.0,16.5,9.78888888888889,11.93888888888889
R Sharma,0.5,50.0,0.5,0.0,0.0,14.0,0.0,0.0,1.0,10.0,0.0,0.0,7.0,0.0,0.0,3.333333333333334,0.0,0.0,0.0,0.0,0.0,4.275757575757575,4.479166666666667
R Shepherd,1.0,50.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,13.5,24.0,0.0,0.0,0.0,0.0,7.5,10.791666666666666,14.916666666666666
R Shukla,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,5.833333333333333,4.75
R Tewatia,9.25,85.4265873015873,9.25,0.0,16.0,0.0,0.0,0.0,25.5,0.0,18.142857142857142,23.5,12.142857142857142,0.0,13.142857142857142,11.5,4.0,0.0,16.444444444444443,35.0,14.428571428571429,13.916666666666666,16.587632275132275
